COMPANY NAME,SECURITY TYPE,Symbol_x,ISSUE START DATE,ISSUE END DATE,Issue_price_Upper_Limit,Issue_price_Lower_Limit,ISSUE_Price_RANGE,Listing Date,Issue Amount (Rs.cr.),Market Cap (IPO) (Rs.cr.),Market Cap on Close Price on Listing (Rs.cr.),% Gain / loss on Listing,Wealth creation w.r.t. Close Price on Listing (%),Opening Date,Issue Price (Rs.),QIB,NII,RII,TOTAL,Open Price on Listing (Rs.),Close Price on Listing (Rs.),% Gain / Loss (Issue price v/s Close price on Listing),ISSUE_START_Nifty_OPEN,ISSUE_START_Nifty_CLOSE,ISSUE_START_Nifty_HIGH,ISSUE_START_Nifty_LOW,ISSUE_END_Nifty_OPEN,ISSUE_END_Nifty_CLOSE,ISSUE_END_Nifty_HIGH,ISSUE_END_Nifty_LOW
MEESHO,EQ,MEESHO,2025-12-03,2025-12-05,111,105,6,2025-12-10,5421.2,50095.75,76763.85,53.23,-2.93,2025-12-03,111.0,49.97,39.29,19.12,45.28,162.5,170.09,53.23,26004.9,25986.0,26066.45,25891.0,25999.8,26186.45,26202.6,25985.35
AEQUS,EQ,AEQUS,2025-12-03,2025-12-05,124,118,6,2025-12-10,921.81,8316.25,10146.5,22.01,-2.8,2025-12-03,124.0,49.72,82.97,78.08,57.41,140.0,151.29,22.01,26004.9,25986.0,26066.45,25891.0,25999.8,26186.45,26202.6,25985.35
VIDYA WIRES,EQ,VIDYAWIRES,2025-12-03,2025-12-05,52,48,4,2025-12-10,300.01,1106.0,1130.88,2.25,-2.97,2025-12-03,52.0,2.74,55.65,29.35,19.99,52.0,53.17,2.25,26004.9,25986.0,26066.45,25891.0,25999.8,26186.45,26202.6,25985.35
SUDEEP PHARMA,EQ,SUDEEPPHRM,2025-11-21,2025-11-25,593,563,30,2025-11-28,895.0,6697.85,8743.92,30.55,-9.74,2025-11-21,593.0,85.68,116.18,15.14,65.56,730.0,774.15,30.55,26109.55,26068.15,26179.2,26052.2,25998.5,25884.8,26032.6,25857.5
EXCELSOFT TECHNOLOGIES,EQ,EXCELSOFT,2025-11-19,2025-11-21,120,114,6,2025-11-26,500.0,1381.01,1449.72,4.97,-21.84,2025-11-19,120.0,20.52,106.72,16.01,31.87,135.0,125.97,4.97,25918.1,26052.65,26074.65,25856.2,26109.55,26068.15,26179.2,26052.2
CAPILLARY TECHNOLOGIES INDIA,EQ,CAPILLARY,2025-11-14,2025-11-18,577,549,28,2025-11-21,877.5,4576.29,4810.26,5.11,18.61,2025-11-14,577.0,23.44,69.49,15.4,29.48,571.9,606.5,5.11,25767.9,25910.05,25940.2,25740.8,26021.8,25910.05,26029.85,25876.5
FUJIYAMA POWER SYSTEMS,EQ,UTLSOLAR,2025-11-13,2025-11-17,228,216,12,2025-11-20,828.0,6986.17,6386.83,-8.58,-1.76,2025-11-13,228.0,2.72,0.88,1.01,1.84,220.0,208.44,-8.58,25906.1,25879.15,26010.7,25808.4,25948.2,26013.45,26024.2,25906.35
TENNECO CLEAN AIR INDIA,EQ,TENNIND,2025-11-12,2025-11-14,397,378,19,2025-11-19,3600.0,16023.09,19808.9,23.63,-3.63,2025-11-12,397.0,70.45,42.65,5.26,43.47,505.0,490.8,23.63,25834.3,25875.8,25934.55,25781.15,25767.9,25910.05,25940.2,25740.8
PHYSICSWALLAH,EQ,PWL,2025-11-11,2025-11-13,109,103,6,2025-11-18,3480.0,31527.44,44902.01,42.42,-12.4,2025-11-11,109.0,1.75,0.5,1.06,1.49,145.0,155.24,42.42,25617.0,25694.95,25715.8,25449.25,25906.1,25879.15,26010.7,25808.4
EMMVEE PHOTOVOLTAIC POWER,EQ,EMMVEE,2025-11-11,2025-11-13,217,206,11,2025-11-18,2900.0,15023.89,15190.05,1.11,-11.7,2025-11-11,217.0,1.15,0.3,1.11,1.02,217.0,219.4,1.11,25617.0,25694.95,25715.8,25449.25,25906.1,25879.15,26010.7,25808.4
